id,amount,date,country,client_fio,account_number,status,transaction_status
62285,16657.54,2024-08-21 05:58:26,Узбекистан,Журавлев Таисия Анатольевна,407027032200835920,СНГ (не подозрительная),низкий риск
62286,192950.43,2024-12-21 16:53:53,Вьетнам,Комиссаров Роман Артемовна,407024198289642178,Низкий риск,высокий риск
62287,83439.55,2025-05-30 11:49:14,Австрия,Лыткин Елисей Александровна,407029663363923667,Низкий риск,высокий риск
62288,70471.16,2024-12-12 05:55:43,Индонезия,Яковлев Панфил Тимофеевна,407023253184640696,Низкий риск,высокий риск
62289,147325.23,2024-12-20 03:17:00,Ирак,Князев Никодим Ниловна,407022241940342207,Высокая коррупция (риск),высокий риск
62290,299130.16,2025-03-13 09:37:15,Эквадор,Тарасова Ярополк Робертовна,407020768179032620,Низкий риск,высокий риск
62291,168940.62,2024-10-12 13:35:47,Эфиопия,Михайлов Ермолай Оскаровна,407020986151040912,Низкий риск,высокий риск
62292,157301.45,2024-10-08 19:19:09,Дания,Князев Никодим Ниловна,407022241940342207,Низкий риск,высокий риск
62293,171741.93,2024-07-19 17:00:06,Швеция,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
62294,292908.15,2024-06-25 13:38:59,Замбия,Копылова Антонина Анисимович,407025521633128502,Низкий риск,высокий риск
62295,220465.72,2024-08-30 20:40:15,Португалия,Савина Флорентин Адрианович,407023424408906955,Низкий риск,высокий риск
62296,139746.42,2025-03-01 09:57:41,ЮАР,Попов Глеб Валентиновна,407023333752568116,Серый список FATF (риск),высокий риск
62297,283209.95,2024-09-21 06:25:35,Армения,Гришин Куприян Трофимович,407020929029803383,СНГ (не подозрительная),высокий риск
62298,165609.58,2024-09-26 02:13:15,Индонезия,Савельева Остромир Ермолаевич,407022851704819711,Низкий риск,высокий риск
62299,194613.89,2025-05-10 02:03:20,Йемен,Панфилов Вениамин Станиславовна,407023424917518868,Серый список FATF (риск),высокий риск
62300,47766.79,2025-05-28 16:09:23,Мьянма,Суханов Эраст Ефимовна,407026057625076240,Черный список FATF (высокий риск),высокий риск
62301,219205.56,2024-09-10 03:09:22,Латвия,Кононова Давыд Денисович,407029896933648536,Низкий риск,высокий риск
62302,78283.31,2024-12-07 16:51:22,Кувейт,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
62303,238926.47,2024-12-25 20:44:58,Грузия,Абрамов Клавдия Григорьевич,407029651532310884,Низкий риск,высокий риск
62304,101765.01,2024-08-03 01:39:17,Кипр,Бурова Андрон Филимонович,407029159343950331,Офшор (риск),высокий риск
62305,29002.66,2025-01-21 14:21:43,Саудовская Аравия,Воронов Никодим Артемовна,407025481793962991,Низкий риск,средний риск
62306,158957.29,2024-08-18 19:05:16,Чили,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
62307,119571.78,2024-08-28 15:59:32,Греция,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
62308,298885.28,2024-11-10 19:58:13,ОАЭ,Прохорова Леонид Аскольдовна,407027117316682861,Серый список FATF (риск),высокий риск
62309,1556.47,2025-03-16 00:24:11,Оман,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,низкий риск
62310,244136.72,2024-12-24 08:26:05,Сингапур,Громова Порфирий Матвеевна,407028855134468059,Офшор (риск),высокий риск
62311,135943.89,2025-05-06 06:26:03,Эквадор,Громова Порфирий Матвеевна,407028855134468059,Низкий риск,высокий риск
62312,79716.42,2024-06-03 18:07:16,Бенин,Суворова Антип Венедиктович,407027258610623307,Низкий риск,высокий риск
62313,290602.55,2025-05-03 06:46:08,Азербайджан,Громова Порфирий Матвеевна,407028855134468059,СНГ (не подозрительная),высокий риск
62314,69852.54,2025-03-11 11:35:59,Монако,Тарасов Станимир Антонович,407024070881143104,Офшор (риск),высокий риск
62315,53744.32,2025-02-28 15:11:39,Казахстан,Терентьева Эмилия Олеговна,407023642338578419,СНГ (не подозрительная),высокий риск
62316,246748.67,2024-07-23 19:08:08,Турция,Воронцов Александра Марсович,407024975051720717,Серый список FATF (риск),высокий риск
62317,57831.59,2024-10-04 18:35:10,Италия,Журавлева Бажен Тимуровна,407021312206113808,Низкий риск,высокий риск
62318,252809.23,2025-02-22 03:54:21,Израиль,Суворова Эрнест Гордеевич,407029127800641724,Низкий риск,высокий риск
62319,153832.68,2025-01-01 05:44:46,Зимбабве,Попов Глеб Валентиновна,407023333752568116,Санкционная (высокий риск),высокий риск
62320,90709.87,2025-02-15 13:15:48,Монголия,Кононов Мечислав Тарасовна,407020933108062598,Низкий риск,высокий риск
62321,211881.27,2024-06-02 23:53:52,Лаос,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
62322,272332.69,2025-03-03 02:44:19,Индонезия,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
62323,128973.85,2024-12-21 04:55:06,Ангола,Щербаков Бажен Федоровна,407027071950740306,Высокая коррупция (риск),высокий риск
62324,27837.80,2025-05-04 17:54:53,Израиль,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,средний риск
62325,271624.30,2024-06-14 07:24:12,Индия,Рогова Феофан Фролович,407021538735222408,Низкий риск,высокий риск
62326,131917.86,2024-07-03 12:26:30,Бурунди,Субботин Лидия Федоровна,407020761873820098,Низкий риск,высокий риск
62327,292630.29,2025-02-26 16:47:45,США,Семенов Боян Станиславовна,407024771193433353,Низкий риск,высокий риск
62328,25099.94,2025-04-19 02:19:35,Кипр,Макаров Авксентий Виленович,407027805350048022,Офшор (риск),высокий риск
62329,199543.75,2025-03-24 23:06:19,Узбекистан,Дорофеева Евгения Даниловна,407022943802337773,СНГ (не подозрительная),высокий риск
62330,223447.24,2025-04-16 17:06:34,Испания,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
62331,133765.74,2024-08-12 01:01:30,Канада,Князева Иосиф Альбертовна,407029955085444245,Низкий риск,высокий риск
62332,134963.66,2024-12-06 23:07:02,Тунис,Копылова Зосима Ефимович,407028622344292159,Низкий риск,высокий риск
62333,294470.80,2025-05-14 14:24:43,Шри-Ланка,Ефимова Фаина Яковлевич,407029541745721663,Низкий риск,высокий риск
62334,149577.38,2024-07-07 14:55:33,Бенин,Исаева Амвросий Эльдаровна,407022642841529921,Низкий риск,высокий риск
62335,253038.27,2024-11-11 06:34:05,Хорватия,Абрамов Клавдия Григорьевич,407029651532310884,Низкий риск,высокий риск
62336,200745.36,2024-12-01 21:49:16,Шри-Ланка,Исаева Амвросий Эльдаровна,407022642841529921,Низкий риск,высокий риск
62337,38919.51,2024-12-31 19:57:26,Япония,Власов Прокофий Демьянович,407020440552063870,Низкий риск,средний риск
62338,248061.71,2024-10-11 09:46:03,Чили,Зайцева Ираклий Зиновьевич,407022548496226115,Низкий риск,высокий риск
62339,254794.41,2024-11-04 09:52:24,Йемен,Савельева Остромир Ермолаевич,407022851704819711,Серый список FATF (риск),высокий риск
62340,232510.57,2024-07-04 06:27:40,Сомали,Журавлев Таисия Анатольевна,407027032200835920,Высокая коррупция (риск),высокий риск
62341,216257.31,2024-06-17 12:51:49,Гаити,Гущина Акулина Федосьевич,407021866717368457,Серый список FATF (риск),высокий риск
62342,169449.38,2024-11-12 10:45:42,ОАЭ,Савельева Остромир Ермолаевич,407022851704819711,Серый список FATF (риск),высокий риск
62343,184163.99,2024-06-15 19:08:32,Литва,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
62344,28260.77,2024-09-06 06:10:40,Бельгия,Фомин Агап Ильич,407024988896595239,Низкий риск,средний риск
62345,139296.83,2024-09-02 07:53:54,Швеция,Морозов Никандр Жоресович,407024412293052799,Низкий риск,высокий риск
62346,176341.06,2024-10-21 08:11:33,Беларусь,Журавлева Бажен Тимуровна,407021312206113808,СНГ (не подозрительная),высокий риск
62347,13753.00,2024-09-14 17:00:22,Сомали,Субботин Лидия Федоровна,407020761873820098,Высокая коррупция (риск),высокий риск
62348,94181.96,2024-11-11 14:36:53,Сингапур,Ефимова Фаина Яковлевич,407029541745721663,Офшор (риск),высокий риск
62349,260654.90,2024-08-25 10:38:33,Болгария,Гордеев Парамон Николаевна,407027899171223437,Низкий риск,высокий риск
62350,75394.17,2025-03-01 03:39:38,Камерун,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
62351,14779.88,2025-05-31 22:08:51,Боливия,Рогова Феофан Фролович,407021538735222408,Низкий риск,низкий риск
62352,66717.95,2024-12-06 08:31:56,Япония,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
62353,19458.86,2024-10-11 09:50:48,США,Мишин Кир Витальевич,407022433722473948,Низкий риск,низкий риск
62354,208699.59,2024-07-13 16:10:55,Мьянма,Дьячкова Тимофей Тарасовна,407029658795477744,Черный список FATF (высокий риск),высокий риск
62355,41132.64,2024-12-01 14:50:19,Грузия,Воронов Никодим Артемовна,407025481793962991,Низкий риск,средний риск
62356,228957.57,2025-02-20 00:07:47,Кувейт,Зайцева Ираклий Зиновьевич,407022548496226115,Низкий риск,высокий риск
62357,90087.45,2025-02-15 11:21:51,Эстония,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
62358,167503.08,2024-11-30 02:12:15,Узбекистан,Воронов Никодим Артемовна,407025481793962991,СНГ (не подозрительная),высокий риск
62359,80519.03,2025-03-07 12:06:04,Сербия,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
62360,96684.87,2025-04-12 03:06:38,Индонезия,Кононов Мечислав Тарасовна,407020933108062598,Низкий риск,высокий риск
62361,259231.67,2025-04-22 14:40:35,Бенин,Рогова Ипполит Богдановна,407024521165925159,Низкий риск,высокий риск
62362,36953.20,2025-05-22 23:37:24,Чили,Чернова Тамара Робертовна,407022491000847007,Низкий риск,средний риск
62363,119442.92,2025-04-06 23:31:56,Австрия,Комиссаров Роман Артемовна,407024198289642178,Низкий риск,высокий риск
62364,81841.91,2025-04-26 07:09:31,Дания,Герасимова Азарий Борисович,407023871409972991,Низкий риск,высокий риск
62365,109918.29,2024-09-25 15:08:23,Мексика,Воронцов Александра Марсович,407024975051720717,Низкий риск,высокий риск
62366,82065.71,2025-05-20 01:07:00,Азербайджан,Попов Глеб Валентиновна,407023333752568116,СНГ (не подозрительная),высокий риск
62367,59559.47,2024-07-11 06:57:28,Мали,Дорофеева Евгения Даниловна,407022943802337773,Серый список FATF (риск),высокий риск
62368,185507.70,2024-08-29 21:10:47,Уганда,Михеев Григорий Тимуровна,407029104046089535,Серый список FATF (риск),высокий риск
62369,186275.09,2024-07-26 03:02:01,Сербия,Ефимова Фаина Яковлевич,407029541745721663,Низкий риск,высокий риск
62370,204071.21,2025-02-21 23:38:38,Эфиопия,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
62371,92833.51,2025-05-26 06:15:33,Кения,Князева Иосиф Альбертовна,407029955085444245,Низкий риск,высокий риск
62372,291232.44,2024-07-04 01:02:05,Румыния,Прохорова Леонид Аскольдовна,407027117316682861,Низкий риск,высокий риск
62373,246925.23,2024-10-31 08:47:12,Гвинея,Пономарев Алевтина Тарасович,407027876927717238,Низкий риск,высокий риск
62374,198456.40,2024-09-03 01:38:55,Саудовская Аравия,Суворова Антип Венедиктович,407027258610623307,Низкий риск,высокий риск
62375,128678.57,2025-03-02 07:00:10,Ирак,Комиссаров Роман Артемовна,407024198289642178,Высокая коррупция (риск),высокий риск
62376,240644.79,2024-11-13 22:20:55,Аргентина,Ефремов Татьяна Гавриилович,407027382855792179,Низкий риск,высокий риск
62377,246438.33,2024-08-11 02:21:42,Непал,Потапова Захар Львовна,407029928036946620,Низкий риск,высокий риск
62378,226483.56,2024-10-14 03:47:19,Ирландия,Яковлев Панфил Тимофеевна,407023253184640696,Низкий риск,высокий риск
62379,104475.74,2025-01-15 00:58:23,Китай,Щукина Феоктист Захаровна,407021872838525157,Низкий риск,высокий риск
62380,73748.65,2025-03-21 12:49:39,Кипр,Суханов Эраст Ефимовна,407026057625076240,Офшор (риск),высокий риск
62381,217693.14,2024-08-03 22:50:22,Норвегия,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,высокий риск
62382,44204.65,2024-11-15 19:06:15,Алжир,Калинина Феофан Еремеевич,407029784052617125,Низкий риск,средний риск
62383,32164.59,2025-04-01 14:02:29,Руанда,Сазонов Глафира Харитоновна,407028897435217629,Низкий риск,средний риск
62384,101614.72,2025-03-24 08:32:29,Сербия,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
62385,238460.17,2024-06-21 09:15:16,Аргентина,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
62386,147037.38,2024-08-04 06:23:43,Эстония,Наумова Мариан Рубеновна,407027067985643745,Низкий риск,высокий риск
62387,213660.27,2024-08-14 03:56:42,Швеция,Суханов Эраст Ефимовна,407026057625076240,Низкий риск,высокий риск
62388,159395.50,2025-04-25 09:15:42,Алжир,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
62389,176280.13,2024-11-04 14:55:06,Иран,Гуляев Яков Евсеевич,407023990206477136,Черный список FATF (высокий риск),высокий риск
62390,176926.69,2024-08-26 14:03:17,Китай,Кондратьев Иосиф Харламович,407025897414452387,Низкий риск,высокий риск
62391,11720.47,2024-09-19 07:18:21,ОАЭ,Потапова Захар Львовна,407029928036946620,Серый список FATF (риск),высокий риск
62392,222059.47,2024-09-24 15:05:42,Чили,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
62393,62326.36,2024-09-25 19:20:42,Руанда,Копылов Варфоломей Валентинович,407021751784656084,Низкий риск,высокий риск
62394,27305.96,2024-08-06 00:16:36,Индия,Гуляев Яков Евсеевич,407023990206477136,Низкий риск,средний риск
62395,64527.07,2025-03-29 06:33:38,Зимбабве,Гущина Акулина Федосьевич,407021866717368457,Санкционная (высокий риск),высокий риск
62396,275036.81,2025-04-05 01:27:26,Аргентина,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
62397,231262.56,2024-11-30 01:48:12,Португалия,Прохорова Леонид Аскольдовна,407027117316682861,Низкий риск,высокий риск
62398,260750.60,2025-04-12 11:50:02,Гамбия,Суворова Эрнест Гордеевич,407029127800641724,Низкий риск,высокий риск
62399,57087.34,2025-05-22 15:29:52,Эстония,Хохлова Евфросиния Егорович,407022921912713131,Низкий риск,высокий риск
62400,112903.89,2025-05-03 00:07:01,Израиль,Князева Иосиф Альбертовна,407029955085444245,Низкий риск,высокий риск
62401,295658.27,2025-05-24 01:07:12,Таджикистан,Савина Флорентин Адрианович,407023424408906955,СНГ (не подозрительная),высокий риск
62402,225356.61,2025-04-26 11:01:15,Италия,Ефимова Фаина Яковлевич,407029541745721663,Низкий риск,высокий риск
62403,97702.87,2024-10-10 02:56:43,Румыния,Дорофеева Евгения Даниловна,407022943802337773,Низкий риск,высокий риск
62404,284654.09,2024-07-16 12:37:39,Швеция,Галкина Фотий Тимуровна,407020500619220023,Низкий риск,высокий риск
62405,32744.60,2024-09-11 00:29:12,Бахрейн,Гуляева Федот Виленович,407020848495211917,Низкий риск,средний риск
62406,270938.57,2025-02-07 13:07:53,Мьянма,Федотов Автоном Борисович,407023319234962651,Черный список FATF (высокий риск),высокий риск
62407,166165.14,2024-09-10 17:04:48,Франция,Гущина Акулина Федосьевич,407021866717368457,Низкий риск,высокий риск
62408,226243.48,2024-08-02 10:30:46,Филиппины,Журавлев Таисия Анатольевна,407027032200835920,Серый список FATF (риск),высокий риск
62409,223721.98,2024-12-31 02:38:37,Израиль,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,высокий риск
62410,143930.90,2024-12-07 08:19:39,Тунис,Лаврентьева Митофан Владимировна,407021197300443094,Низкий риск,высокий риск
62411,7042.53,2025-05-30 20:29:04,Гондурас,Калинина Феофан Еремеевич,407029784052617125,Низкий риск,низкий риск
62412,121848.42,2024-08-23 05:38:30,Франция,Князев Никодим Ниловна,407022241940342207,Низкий риск,высокий риск
62413,8496.69,2025-04-24 18:28:29,Швейцария,Гордеев Парамон Николаевна,407027899171223437,Офшор (риск),высокий риск
62414,19712.29,2024-11-17 20:20:54,Замбия,Мишин Кир Витальевич,407022433722473948,Низкий риск,низкий риск
62415,59700.74,2025-01-02 23:39:44,Турция,Князева Иосиф Альбертовна,407029955085444245,Серый список FATF (риск),высокий риск
62416,190165.99,2024-06-07 21:43:16,Финляндия,Фролов Андрон Ярославович,407024762708899642,Низкий риск,высокий риск
62417,218103.20,2025-02-11 23:02:34,Ботсвана,Никитин Остап Эдуардовна,407025210832475327,Низкий риск,высокий риск
62418,173877.10,2024-08-02 09:20:11,Пакистан,Мельникова Иларион Владленович,407023390744506589,Низкий риск,высокий риск
62419,106869.86,2024-09-15 10:29:49,Хорватия,Лебедева Никифор Феликсовна,407028968930657910,Низкий риск,высокий риск
62420,238296.63,2024-11-22 20:05:35,Кувейт,Рыбакова Галактион Еремеевич,407028928450777605,Низкий риск,высокий риск
62421,275754.83,2025-02-24 12:54:29,Сенегал,Чернова Тамара Робертовна,407022491000847007,Серый список FATF (риск),высокий риск
62422,131484.20,2025-01-18 04:01:31,Уругвай,Михеев Григорий Тимуровна,407029104046089535,Низкий риск,высокий риск
62423,64199.79,2024-09-01 18:01:11,Израиль,Морозов Дмитрий Иосифович,407020131473225662,Низкий риск,высокий риск
62424,53474.42,2025-04-23 20:32:42,Перу,Кононов Мечислав Тарасовна,407020933108062598,Низкий риск,высокий риск
62425,249585.10,2024-08-06 00:15:28,Израиль,Лебедева Никифор Феликсовна,407028968930657910,Низкий риск,высокий риск
62426,191989.42,2024-06-01 22:29:34,Боливия,Котов Кондрат Ерофеевич,407023795449503350,Низкий риск,высокий риск
62427,296321.17,2024-07-27 14:03:26,Ирак,Ефимова Фаина Яковлевич,407029541745721663,Высокая коррупция (риск),высокий риск
62428,191583.49,2024-12-06 02:39:59,Нигерия,Сазонов Глафира Харитоновна,407028897435217629,Серый список FATF (риск),высокий риск
62429,128580.50,2025-02-25 19:55:18,Сербия,Лаврентьева Митофан Владимировна,407021197300443094,Низкий риск,высокий риск
62430,148314.91,2024-11-08 06:06:28,Ливан,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
62431,234646.26,2024-12-14 15:59:11,Уругвай,Дорофеева Евгения Даниловна,407022943802337773,Низкий риск,высокий риск
62432,165648.30,2024-12-13 15:26:40,Бельгия,Гуляев Яков Евсеевич,407023990206477136,Низкий риск,высокий риск
62433,213622.85,2024-06-08 01:16:12,Руанда,Герасимова Азарий Борисович,407023871409972991,Низкий риск,высокий риск
62434,94377.20,2024-06-24 12:51:30,Франция,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,высокий риск
62435,199260.35,2025-01-13 03:01:10,Норвегия,Потапова Захар Львовна,407029928036946620,Низкий риск,высокий риск
62436,42762.73,2024-08-01 01:23:00,Люксембург,Комиссаров Роман Артемовна,407024198289642178,Низкий риск,средний риск
62437,195993.12,2024-11-24 20:25:27,Исландия,Сергеев Эрнест Константиновна,407020925983196428,Низкий риск,высокий риск
62438,68452.45,2025-02-15 11:51:13,Лаос,Рогова Феофан Фролович,407021538735222408,Низкий риск,высокий риск
62439,249826.91,2025-02-17 01:36:38,Оман,Дорофеева Евгения Даниловна,407022943802337773,Низкий риск,высокий риск
62440,207031.85,2024-07-08 16:52:03,Хорватия,Галкин Лора Викторовна,407024645732982407,Низкий риск,высокий риск
62441,90609.85,2024-07-08 11:22:22,Ирак,Котов Прокофий Борисовна,407027375099712618,Высокая коррупция (риск),высокий риск
62442,45135.69,2025-02-08 07:13:19,Германия,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,средний риск
62443,238539.78,2024-06-17 19:06:28,Узбекистан,Фомин Агап Ильич,407024988896595239,СНГ (не подозрительная),высокий риск
62444,60098.18,2024-06-29 19:35:41,Камерун,Дьячкова Тимофей Тарасовна,407029658795477744,Низкий риск,высокий риск
62445,193305.67,2025-05-15 06:36:24,Перу,Герасимова Азарий Борисович,407023871409972991,Низкий риск,высокий риск
62446,293311.84,2024-11-01 16:53:37,Бразилия,Лазарева Севастьян Арсенович,407029505838984306,Низкий риск,высокий риск
62447,11831.55,2025-01-02 09:14:45,Италия,Герасимова Азарий Борисович,407023871409972991,Низкий риск,низкий риск
62448,9954.55,2025-05-19 00:48:39,Румыния,Ефремов Авксентий Ефстафьевич,407020969495136460,Низкий риск,низкий риск
62449,1706.46,2024-09-07 11:21:46,США,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,низкий риск
62450,133397.09,2025-04-22 11:56:50,Бенин,Яковлева Евфросиния Аверьянович,407022165925789005,Низкий риск,высокий риск
62451,265914.81,2024-11-30 05:41:12,Саудовская Аравия,Рыбакова Галактион Еремеевич,407028928450777605,Низкий риск,высокий риск
62452,87567.64,2024-07-10 08:32:28,Эфиопия,Кудрявцева Агата Степановна,407022693681622964,Низкий риск,высокий риск
62453,182749.34,2024-06-14 12:35:50,Молдова,Щербаков Бажен Федоровна,407027071950740306,Низкий риск,высокий риск
62454,262345.12,2025-02-15 02:17:42,Сингапур,Лебедева Никифор Феликсовна,407028968930657910,Офшор (риск),высокий риск
62455,142777.95,2024-06-21 08:38:40,Чад,Воронов Никодим Артемовна,407025481793962991,Низкий риск,высокий риск
62456,197788.31,2024-06-10 06:18:35,Литва,Кондратьев Иосиф Харламович,407025897414452387,Низкий риск,высокий риск
62457,283393.74,2024-10-21 10:01:06,Колумбия,Морозов Никандр Жоресович,407024412293052799,Низкий риск,высокий риск
62458,203202.46,2025-03-01 19:32:24,Албания,Тарасов Станимир Антонович,407024070881143104,Серый список FATF (риск),высокий риск
62459,292265.05,2025-02-19 02:54:06,Исландия,Кондратьев Иосиф Харламович,407025897414452387,Низкий риск,высокий риск
62460,188357.85,2024-12-06 03:09:00,Словения,Носов Владлен Юрьевна,407027024671771862,Низкий риск,высокий риск
62461,185176.14,2025-03-06 04:20:35,Вьетнам,Галкина Фотий Тимуровна,407020500619220023,Низкий риск,высокий риск
62462,119217.32,2025-03-03 14:22:37,Таиланд,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
62463,50695.48,2025-01-20 23:40:18,Никарагуа,Ефремов Татьяна Гавриилович,407027382855792179,Санкционная (высокий риск),высокий риск
62464,168708.66,2025-04-09 13:35:31,Панама,Рыбакова Галактион Еремеевич,407028928450777605,Серый список FATF (риск),высокий риск
62465,161461.18,2024-08-05 20:46:28,Беларусь,Морозов Дмитрий Иосифович,407020131473225662,СНГ (не подозрительная),высокий риск
62466,172645.48,2024-06-11 19:26:10,Марокко,Семенов Боян Станиславовна,407024771193433353,Низкий риск,высокий риск
62467,174362.46,2025-06-01 10:51:00,Бахрейн,Морозов Никандр Жоресович,407024412293052799,Низкий риск,высокий риск
62468,214814.60,2024-12-21 06:52:11,Южная Корея,Мельникова Иларион Владленович,407023390744506589,Низкий риск,высокий риск
62469,70871.07,2024-08-21 22:25:31,Ирак,Гордеев Парамон Николаевна,407027899171223437,Высокая коррупция (риск),высокий риск
62470,87098.78,2025-03-10 01:26:15,Швейцария,Фомин Агап Ильич,407024988896595239,Офшор (риск),высокий риск
62471,72735.37,2024-10-13 19:11:38,Марокко,Котов Кондрат Ерофеевич,407023795449503350,Низкий риск,высокий риск
62472,122042.66,2025-02-19 21:43:35,Чехия,Мамонтов Казимир Димитриевич,407022463806952389,Низкий риск,высокий риск
62473,158803.83,2024-09-14 16:04:42,Латвия,Сазонов Глафира Харитоновна,407028897435217629,Низкий риск,высокий риск
62474,19923.68,2025-03-12 22:37:33,Бельгия,Абрамов Клавдия Григорьевич,407029651532310884,Низкий риск,низкий риск
62475,30130.42,2025-04-18 19:56:01,Япония,Суворова Эрнест Гордеевич,407029127800641724,Низкий риск,средний риск
62476,257067.74,2024-06-12 10:25:43,Бразилия,Ефремов Татьяна Гавриилович,407027382855792179,Низкий риск,высокий риск
62477,232027.77,2024-06-25 19:07:14,Израиль,Федотов Автоном Борисович,407023319234962651,Низкий риск,высокий риск
62478,143047.41,2024-08-31 10:20:23,Беларусь,Ефремов Татьяна Гавриилович,407027382855792179,СНГ (не подозрительная),высокий риск
62479,199453.96,2025-03-23 08:23:32,Люксембург,Щербаков Бажен Федоровна,407027071950740306,Низкий риск,высокий риск
62480,136663.42,2024-06-01 22:45:38,Бангладеш,Власов Прокофий Демьянович,407020440552063870,Низкий риск,высокий риск
62481,108496.39,2024-11-28 18:12:45,Колумбия,Журавлев Таисия Анатольевна,407027032200835920,Низкий риск,высокий риск
62482,288646.18,2024-11-16 19:29:33,Норвегия,Терентьева Эмилия Олеговна,407023642338578419,Низкий риск,высокий риск
62483,236744.91,2024-11-23 02:42:51,Швейцария,Турова Вадим Данилович,407022490565821805,Офшор (риск),высокий риск
62484,180003.75,2025-02-10 02:59:59,Словакия,Галкина Савва Ануфриевич,407026082438768926,Низкий риск,высокий риск
62485,256889.17,2024-08-02 23:44:31,Эстония,Гуляева Федот Виленович,407020848495211917,Низкий риск,высокий риск
62486,49885.05,2024-06-20 09:45:04,Панама,Копылов Варфоломей Валентинович,407021751784656084,Серый список FATF (риск),высокий риск
62487,86003.51,2024-12-11 21:32:20,Грузия,Кононов Гордей Еремеевич,407029454576526663,Низкий риск,высокий риск
62488,175168.83,2025-05-16 10:16:54,Бурунди,Дьячкова Тимофей Тарасовна,407029658795477744,Низкий риск,высокий риск
62489,146040.45,2025-02-03 04:58:56,Япония,Яковлев Панфил Тимофеевна,407023253184640696,Низкий риск,высокий риск
62490,266663.24,2025-03-15 06:30:47,Пакистан,Григорьев Сидор Валерьянович,407021422101636308,Низкий риск,высокий риск
62491,181727.09,2025-05-17 13:41:50,Казахстан,Кононова Давыд Денисович,407029896933648536,СНГ (не подозрительная),высокий риск
62492,59708.26,2024-08-06 10:42:16,Узбекистан,Кононова Давыд Денисович,407029896933648536,СНГ (не подозрительная),высокий риск
62493,231503.65,2024-09-13 14:03:55,Беларусь,Гришин Куприян Трофимович,407020929029803383,СНГ (не подозрительная),высокий риск
62494,82590.06,2024-10-18 02:47:53,Гана,Семенов Боян Станиславовна,407024771193433353,Серый список FATF (риск),высокий риск
62495,147051.12,2025-03-03 01:31:34,Турция,Гордеев Парамон Николаевна,407027899171223437,Серый список FATF (риск),высокий риск
62496,205151.74,2024-09-08 07:08:10,Гаити,Кудрявцева Агата Степановна,407022693681622964,Серый список FATF (риск),высокий риск
62497,59747.04,2024-06-19 06:45:54,Бразилия,Воронов Никодим Артемовна,407025481793962991,Низкий риск,высокий риск
62498,136425.28,2024-06-28 05:26:20,Чили,Мельникова Иларион Владленович,407023390744506589,Низкий риск,высокий риск
62499,260640.02,2024-11-18 20:56:16,Эфиопия,Лазарева Севастьян Арсенович,407029505838984306,Низкий риск,высокий риск
62500,195754.76,2024-10-08 19:05:39,Израиль,Фролова Фома Феодосьевич,407025839175829766,Низкий риск,высокий риск
62501,9590.56,2024-08-07 16:35:36,Австрия,Кононов Мечислав Тарасовна,407020933108062598,Низкий риск,низкий риск
62502,260635.00,2024-07-31 08:13:21,Эквадор,Савина Флорентин Адрианович,407023424408906955,Низкий риск,высокий риск
62503,63460.03,2024-09-06 20:50:20,Непал,Ефремов Авксентий Ефстафьевич,407020969495136460,Низкий риск,высокий риск
62504,299714.35,2025-01-15 12:36:42,Сирия,Ширяева Капитон Кузьминична,407020338023134503,Санкционная (высокий риск),высокий риск
62505,289646.03,2025-05-31 07:00:46,Монголия,Суворова Эрнест Гордеевич,407029127800641724,Низкий риск,высокий риск
62506,15775.41,2024-10-08 21:44:22,Бурунди,Гордеев Парамон Николаевна,407027899171223437,Низкий риск,низкий риск
62507,10220.99,2025-04-23 12:41:03,Мали,Григорьев Сидор Валерьянович,407021422101636308,Серый список FATF (риск),высокий риск
