id,Amount,Date,Country,Client_FIO,Account_Number
2829,281500.11 RUB,2025-05-21 06:23:46,Буркина-Фасо,Исаева Амвросий Эльдаровна,407022642841529921
2830,261036.41 RUB,2025-04-14 14:55:51,Израиль,Фомин Агап Ильич,407024988896595239
2831,109394.09 RUB,2024-12-21 19:23:24,Ливан,Никитин Остап Эдуардовна,407025210832475327
2832,212745.49 RUB,2024-11-05 22:07:20,Маврикий,Молчанова Орест Афанасьевич,407027011438863131
2833,37158.77 RUB,2024-08-17 19:06:05,Мьянма,Гуляев Яков Евсеевич,407023990206477136
2834,71725.85 RUB,2025-05-23 05:12:11,Швейцария,Громова Порфирий Матвеевна,407028855134468059
2835,284318.26 RUB,2024-06-09 14:49:40,Франция,Савельева Остромир Ермолаевич,407022851704819711
2836,82762.08 RUB,2024-12-13 12:41:35,Замбия,Гущина Акулина Федосьевич,407021866717368457
2837,236364.01 RUB,2025-04-29 11:09:48,Буркина-Фасо,Федотов Автоном Борисович,407023319234962651
2838,89259.19 RUB,2024-11-06 00:29:28,Люксембург,Князев Никодим Ниловна,407022241940342207
2839,230336.17 RUB,2024-08-16 06:51:13,Турция,Кононова Давыд Денисович,407029896933648536
2840,62993.0 RUB,2024-07-06 06:23:35,Киргизия,Котов Кондрат Ерофеевич,407023795449503350
2841,70214.58 RUB,2025-02-05 00:12:07,Иран,Мамонтов Казимир Димитриевич,407022463806952389
2842,281133.09 RUB,2025-03-21 12:01:03,Финляндия,Тарасов Станимир Антонович,407024070881143104
2843,105346.77 RUB,2024-08-08 22:42:34,Джибути,Рогова Ипполит Богдановна,407024521165925159
2844,259834.58 RUB,2024-06-15 19:10:52,Италия,Щербаков Бажен Федоровна,407027071950740306
2845,123601.59 RUB,2024-12-11 23:44:51,Зимбабве,Кудрявцева Агата Степановна,407022693681622964
2846,180112.79 RUB,2025-02-05 02:51:06,Руанда,Ефремов Авксентий Ефстафьевич,407020969495136460
2847,254907.2 RUB,2024-12-12 22:22:29,Болгария,Гуляев Яков Евсеевич,407023990206477136
2848,40987.66 RUB,2024-11-06 08:59:24,Йемен,Прохорова Леонид Аскольдовна,407027117316682861
2849,283510.3 RUB,2024-08-06 14:24:25,Финляндия,Ефремов Авксентий Ефстафьевич,407020969495136460
2850,152735.35 RUB,2024-07-17 10:51:38,Кипр,Гришин Куприян Трофимович,407020929029803383
2851,185274.27 RUB,2025-05-18 10:40:25,Иран,Власов Прокофий Демьянович,407020440552063870
2852,89414.25 RUB,2024-10-20 18:23:43,Гамбия,Ефремов Авксентий Ефстафьевич,407020969495136460
2853,172043.92 RUB,2025-04-19 10:11:49,Бахрейн,Абрамов Клавдия Григорьевич,407029651532310884
2854,122751.59 RUB,2024-12-15 02:49:16,Вьетнам,Комиссаров Роман Артемовна,407024198289642178
2855,95018.87 RUB,2024-07-02 18:56:27,Нигерия,Князева Иосиф Альбертовна,407029955085444245
2856,270530.92 RUB,2024-09-12 02:02:04,Пакистан,Мельникова Иларион Владленович,407023390744506589
2857,124021.46 RUB,2025-04-22 14:24:53,Гана,Щербаков Бажен Федоровна,407027071950740306
2858,166176.3 RUB,2025-02-12 22:50:01,Малайзия,Макаров Авксентий Виленович,407027805350048022
2859,213143.85 RUB,2025-01-26 07:07:04,Мальта,Красильникова Афиноген Алексеевич,407022004262198905
2860,229688.55 RUB,2025-04-12 01:30:42,Перу,Петухова Сидор Иларионович,407022152321842466
2861,13619.77 RUB,2024-11-30 03:03:25,Мали,Яковлев Панфил Тимофеевна,407023253184640696
2862,63579.75 RUB,2024-11-05 23:52:52,Кипр,Сергеев Эрнест Константиновна,407020925983196428
2863,72468.65 RUB,2024-12-04 06:48:42,Афганистан,Фомин Агап Ильич,407024988896595239
2864,113773.85 RUB,2024-06-04 15:35:43,Таиланд,Турова Вадим Данилович,407022490565821805
2865,266744.65 RUB,2024-09-30 18:30:16,Эквадор,Сазонов Глафира Харитоновна,407028897435217629
2866,28543.54 RUB,2025-01-12 06:08:15,Эстония,Князев Никодим Ниловна,407022241940342207
2867,188183.22 RUB,2024-09-27 09:28:24,Словения,Князев Никодим Ниловна,407022241940342207
2868,37685.39 RUB,2024-06-24 22:39:34,Грузия,Зайцева Ираклий Зиновьевич,407022548496226115
2869,191949.81 RUB,2025-04-08 01:22:52,Чад,Потапова Захар Львовна,407029928036946620
2870,183598.09 RUB,2025-04-11 22:16:52,Япония,Котов Прокофий Борисовна,407027375099712618
2871,184347.19 RUB,2024-12-02 10:40:04,Германия,Петухова Сидор Иларионович,407022152321842466
2872,273360.28 RUB,2024-12-09 09:06:47,Греция,Суворова Антип Венедиктович,407027258610623307
2873,157539.19 RUB,2024-09-23 13:34:16,Ботсвана,Лыткин Елисей Александровна,407029663363923667
2874,37305.56 RUB,2025-05-30 10:41:04,Марокко,Князева Иосиф Альбертовна,407029955085444245
2875,82264.57 RUB,2024-07-12 12:13:14,Болгария,Иванова Эраст Харитонович,407022667374044683
2876,52127.8 RUB,2025-04-02 10:45:21,Оман,Прохорова Леонид Аскольдовна,407027117316682861
2877,298570.12 RUB,2024-09-22 10:10:57,Швейцария,Тарасова Ярополк Робертовна,407020768179032620
2878,142758.27 RUB,2024-06-25 17:18:32,Нигерия,Прохорова Леонид Аскольдовна,407027117316682861
2879,231091.92 RUB,2024-10-26 05:17:16,Турция,Потапова Захар Львовна,407029928036946620
2880,101755.73 RUB,2024-06-07 05:47:24,Беларусь,Дорофеева Евгения Даниловна,407022943802337773
2881,101429.39 RUB,2025-05-26 11:40:20,Эфиопия,Терентьева Эмилия Олеговна,407023642338578419
2882,283325.39 RUB,2024-08-20 07:09:04,Грузия,Устинов Анастасия Львовна,407020067821431385
2883,272893.21 RUB,2024-10-06 10:35:34,Буркина-Фасо,Котов Прокофий Борисовна,407027375099712618
2884,130499.1 RUB,2024-08-30 17:16:45,ЮАР,Лебедева Никифор Феликсовна,407028968930657910
2885,146813.27 RUB,2025-03-05 14:35:10,Новая Зеландия,Потапова Захар Львовна,407029928036946620
2886,143897.08 RUB,2024-10-24 21:59:32,Китай,Мишин Кир Витальевич,407022433722473948
2887,178167.44 RUB,2024-11-18 07:03:44,Болгария,Дмитриев Ермолай Федоровна,407028773741004260
2888,294192.95 RUB,2024-07-06 17:00:04,Нигерия,Носов Владлен Юрьевна,407027024671771862
2889,170134.75 RUB,2024-08-11 08:26:47,Танзания,Хохлова Евфросиния Егорович,407022921912713131
2890,1410.34 RUB,2024-12-05 08:27:49,Шри-Ланка,Суханов Эраст Ефимовна,407026057625076240
2891,228980.63 RUB,2024-10-28 17:51:31,Джибути,Суханов Эраст Ефимовна,407026057625076240
2892,49665.38 RUB,2025-04-03 19:31:36,Йемен,Дорофеева Евгения Даниловна,407022943802337773
2893,238806.96 RUB,2024-06-05 03:41:08,Австрия,Мельникова Иларион Владленович,407023390744506589
2894,246000.02 RUB,2025-03-26 12:55:17,Аргентина,Гришин Куприян Трофимович,407020929029803383
2895,27163.49 RUB,2024-09-14 12:28:47,Сирия,Воробьева Модест Викторовна,407023234711946109
2896,19878.75 RUB,2025-03-09 22:37:33,Армения,Лебедева Никифор Феликсовна,407028968930657910
2897,249070.87 RUB,2024-12-06 07:51:04,Болгария,Федотов Автоном Борисович,407023319234962651
2898,278923.42 RUB,2025-05-11 00:20:40,Чад,Кононов Мечислав Тарасовна,407020933108062598
2899,299303.77 RUB,2025-03-12 07:59:54,Колумбия,Бирюкова Синклитикия Афанасьевна,407029114357208580
2900,96725.11 RUB,2024-10-15 22:10:47,Ирак,Носов Владлен Юрьевна,407027024671771862
2901,259413.97 RUB,2024-09-16 07:38:04,Гондурас,Журавлева Бажен Тимуровна,407021312206113808
2902,230458.43 RUB,2025-05-10 10:15:55,Пакистан,Фролов Андрон Ярославович,407024762708899642
2903,249941.98 RUB,2024-12-15 15:58:23,Аргентина,Федотов Автоном Борисович,407023319234962651
2904,120038.64 RUB,2024-07-05 19:48:57,Таджикистан,Кононов Мечислав Тарасовна,407020933108062598
2905,82494.7 RUB,2025-04-02 18:43:56,Германия,Суворова Антип Венедиктович,407027258610623307
2906,293399.49 RUB,2025-04-02 14:03:14,Словакия,Мельникова Иларион Владленович,407023390744506589
2907,196586.7 RUB,2024-09-15 13:01:01,Новая Зеландия,Наумова Мариан Рубеновна,407027067985643745
2908,178854.16 RUB,2024-06-14 02:16:56,Лаос,Исаева Амвросий Эльдаровна,407022642841529921
2909,226815.61 RUB,2024-12-16 22:44:23,Киргизия,Ефремов Татьяна Гавриилович,407027382855792179
2910,125590.19 RUB,2024-12-20 03:16:54,Швеция,Мамонтов Казимир Димитриевич,407022463806952389
2911,138842.85 RUB,2025-02-24 15:07:50,Ангола,Федотов Автоном Борисович,407023319234962651
2912,22134.88 RUB,2024-07-02 09:17:54,Китай,Прохорова Леонид Аскольдовна,407027117316682861
2913,139735.08 RUB,2024-12-19 02:55:55,Нигерия,Сазонов Глафира Харитоновна,407028897435217629
2914,227656.55 RUB,2024-09-23 02:10:56,Узбекистан,Ефимова Фаина Яковлевич,407029541745721663
2915,185368.41 RUB,2024-09-25 01:35:50,Бурунди,Пономарев Алевтина Тарасович,407027876927717238
2916,266403.76 RUB,2024-08-05 18:20:22,Япония,Яковлева Евфросиния Аверьянович,407022165925789005
2917,158998.76 RUB,2024-08-10 14:22:50,Хорватия,Гущина Акулина Федосьевич,407021866717368457
2918,265132.64 RUB,2025-02-06 21:12:09,Джибути,Лихачева Адриан Евгеньевна,407023221026097082
2919,286970.99 RUB,2025-03-29 17:31:17,Греция,Герасимова Азарий Борисович,407023871409972991
2920,51983.57 RUB,2024-12-07 18:47:25,Иран,Ефимова Фаина Яковлевич,407029541745721663
2921,44953.18 RUB,2025-01-08 10:41:38,Ирак,Устинов Анастасия Львовна,407020067821431385
2922,166885.47 RUB,2024-06-29 17:23:28,Эквадор,Абрамов Клавдия Григорьевич,407029651532310884
2923,197580.59 RUB,2024-06-15 16:11:04,Нидерланды,Никитин Остап Эдуардовна,407025210832475327
2924,147727.92 RUB,2024-09-13 12:08:38,Маврикий,Молчанова Орест Афанасьевич,407027011438863131
2925,25696.08 RUB,2024-06-13 11:34:27,Эквадор,Князев Никодим Ниловна,407022241940342207
2926,177128.85 RUB,2024-11-24 23:00:53,Руанда,Бурова Андрон Филимонович,407029159343950331
2927,197557.26 RUB,2024-12-27 23:47:06,Индия,Фролов Андрон Ярославович,407024762708899642
2928,238661.62 RUB,2024-06-13 20:07:36,Франция,Турова Вадим Данилович,407022490565821805
2929,94039.61 RUB,2024-07-30 10:55:15,Чад,Лебедева Никифор Феликсовна,407028968930657910
2930,6798.44 RUB,2024-10-27 03:13:01,Габон,Котов Кондрат Ерофеевич,407023795449503350
2931,69583.43 RUB,2024-06-03 23:35:33,Куба,Галкин Лора Викторовна,407024645732982407
2932,121797.18 RUB,2024-07-06 08:35:06,Сомали,Копылова Антонина Анисимович,407025521633128502
2933,86765.58 RUB,2025-03-04 18:35:03,Сербия,Морозов Дмитрий Иосифович,407020131473225662
2934,3583.86 RUB,2024-11-03 00:44:11,Ливия,Суворова Антип Венедиктович,407027258610623307
2935,292854.9 RUB,2025-03-01 10:14:10,Алжир,Наумова Мариан Рубеновна,407027067985643745
2936,107547.85 RUB,2024-09-04 13:26:23,Финляндия,Тарасов Станимир Антонович,407024070881143104
2937,100800.79 RUB,2024-09-26 22:57:59,Швеция,Лыткин Елисей Александровна,407029663363923667
2938,81375.73 RUB,2024-09-06 16:31:18,Армения,Бирюкова Синклитикия Афанасьевна,407029114357208580
2939,75697.12 RUB,2025-05-31 03:08:46,Катар,Мишин Кир Витальевич,407022433722473948
2940,183088.63 RUB,2024-11-20 05:54:38,Мьянма,Кононов Гордей Еремеевич,407029454576526663
2941,284628.74 RUB,2024-12-14 06:23:18,Шри-Ланка,Копылов Варфоломей Валентинович,407021751784656084
2942,120860.29 RUB,2024-08-10 11:12:45,Греция,Герасимова Азарий Борисович,407023871409972991
2943,26406.76 RUB,2025-03-30 22:06:51,Албания,Галкина Фотий Тимуровна,407020500619220023
2944,283569.63 RUB,2025-05-15 09:14:08,Гана,Субботин Лидия Федоровна,407020761873820098
2945,149174.24 RUB,2024-11-27 21:38:52,Никарагуа,Гришин Куприян Трофимович,407020929029803383
2946,274129.12 RUB,2024-08-02 10:10:26,Польша,Герасимова Азарий Борисович,407023871409972991
2947,154762.95 RUB,2024-10-30 07:52:33,Словакия,Кононова Давыд Денисович,407029896933648536
2948,45182.2 RUB,2024-09-04 11:35:09,Франция,Григорьев Сидор Валерьянович,407021422101636308
2949,247629.32 RUB,2024-06-06 00:59:29,Нигерия,Дмитриев Ермолай Федоровна,407028773741004260
2950,199180.2 RUB,2024-10-04 13:16:39,Сирия,Князев Никодим Ниловна,407022241940342207
2951,15710.29 RUB,2025-01-06 11:56:12,Южная Корея,Лебедева Никифор Феликсовна,407028968930657910
2952,56042.86 RUB,2025-05-23 01:23:26,Япония,Кононова Давыд Денисович,407029896933648536
2953,115602.38 RUB,2024-12-12 08:24:58,Бразилия,Исаева Амвросий Эльдаровна,407022642841529921
2954,164123.36 RUB,2024-12-27 01:07:40,Лаос,Кононов Мечислав Тарасовна,407020933108062598
2955,118059.14 RUB,2025-04-15 12:00:30,Бразилия,Мамонтов Казимир Димитриевич,407022463806952389
2956,98971.58 RUB,2024-11-29 15:30:39,Буркина-Фасо,Субботин Лидия Федоровна,407020761873820098
2957,179323.54 RUB,2024-10-07 02:17:17,Чад,Субботин Лидия Федоровна,407020761873820098
2958,161120.36 RUB,2025-04-16 00:23:18,Замбия,Федотов Автоном Борисович,407023319234962651
2959,135093.0 RUB,2024-08-30 03:56:11,Ирак,Тарасова Ярополк Робертовна,407020768179032620
2960,292066.74 RUB,2024-06-15 12:10:57,Израиль,Прохорова Леонид Аскольдовна,407027117316682861
2961,11111.59 RUB,2025-02-25 13:31:20,Германия,Наумова Мариан Рубеновна,407027067985643745
2962,285447.46 RUB,2025-05-17 00:34:20,Индонезия,Панфилов Вениамин Станиславовна,407023424917518868
2963,132904.04 RUB,2025-01-25 19:38:40,Италия,Копылов Варфоломей Валентинович,407021751784656084
2964,250710.32 RUB,2025-02-09 11:57:59,США,Михеев Григорий Тимуровна,407029104046089535
2965,280865.45 RUB,2025-05-21 22:23:25,Монако,Мишин Кир Витальевич,407022433722473948
2966,224277.17 RUB,2025-05-17 23:18:47,Литва,Сергеев Эрнест Константиновна,407020925983196428
2967,51543.91 RUB,2025-03-06 12:33:09,Сербия,Копылов Варфоломей Валентинович,407021751784656084
2968,253796.93 RUB,2025-01-03 07:05:28,Киргизия,Дмитриев Ермолай Федоровна,407028773741004260
2969,216565.08 RUB,2024-08-13 19:16:28,Буркина-Фасо,Лазарева Севастьян Арсенович,407029505838984306
2970,254904.64 RUB,2024-09-25 14:29:48,Латвия,Герасимова Азарий Борисович,407023871409972991
2971,177158.35 RUB,2024-07-02 11:37:24,Афганистан,Журавлев Таисия Анатольевна,407027032200835920
2972,157946.14 RUB,2024-11-24 21:16:30,США,Бурова Андрон Филимонович,407029159343950331
2973,248882.51 RUB,2025-04-14 22:43:18,Болгария,Данилов Харитон Анисимович,407021911450758375
2974,241659.56 RUB,2025-04-22 21:48:20,Катар,Хохлова Евфросиния Егорович,407022921912713131
2975,25518.47 RUB,2024-10-27 02:40:51,Аргентина,Попов Глеб Валентиновна,407023333752568116
2976,190860.58 RUB,2025-04-24 15:29:49,Эстония,Князева Иосиф Альбертовна,407029955085444245
2977,237822.58 RUB,2024-11-26 05:51:48,Бахрейн,Субботин Лидия Федоровна,407020761873820098
2978,142941.05 RUB,2024-11-22 16:01:44,Гамбия,Сергеев Эрнест Константиновна,407020925983196428
2979,21555.12 RUB,2024-12-29 00:03:51,Судан,Хохлова Евфросиния Егорович,407022921912713131
2980,78707.53 RUB,2025-01-23 20:19:57,Малайзия,Дьячкова Тимофей Тарасовна,407029658795477744
2981,275624.98 RUB,2024-12-01 22:04:00,Гондурас,Семенов Боян Станиславовна,407024771193433353
2982,282286.57 RUB,2024-09-04 00:50:55,Бельгия,Мишин Кир Витальевич,407022433722473948
2983,157768.24 RUB,2024-11-12 04:07:17,Зимбабве,Лазарева Севастьян Арсенович,407029505838984306
2984,108382.37 RUB,2025-03-31 18:49:43,Перу,Зайцева Ираклий Зиновьевич,407022548496226115
2985,196248.81 RUB,2025-05-30 04:11:26,Габон,Яковлева Евфросиния Аверьянович,407022165925789005
2986,129369.66 RUB,2025-02-08 06:01:01,Уругвай,Савельева Остромир Ермолаевич,407022851704819711
2987,274424.51 RUB,2025-05-15 02:56:22,Боливия,Терентьева Эмилия Олеговна,407023642338578419
2988,258229.13 RUB,2024-06-08 23:06:42,Эстония,Сазонов Глафира Харитоновна,407028897435217629
2989,99985.15 RUB,2024-07-16 19:19:04,Португалия,Лаврентьева Митофан Владимировна,407021197300443094
2990,285023.0 RUB,2024-12-16 19:20:50,Панама,Ширяева Капитон Кузьминична,407020338023134503
2991,92478.46 RUB,2024-12-07 07:56:21,Чехия,Данилов Харитон Анисимович,407021911450758375
2992,233512.26 RUB,2024-06-18 09:28:05,Румыния,Петухова Сидор Иларионович,407022152321842466
2993,231915.77 RUB,2025-04-07 18:14:55,Кипр,Савина Флорентин Адрианович,407023424408906955
2994,246597.24 RUB,2024-11-18 18:21:34,Египет,Комиссаров Роман Артемовна,407024198289642178
2995,265575.45 RUB,2024-09-08 22:58:28,Афганистан,Гордеев Парамон Николаевна,407027899171223437
2996,273218.65 RUB,2024-08-10 12:32:48,Алжир,Суворова Антип Венедиктович,407027258610623307
2997,129217.01 RUB,2024-11-02 11:36:44,Мексика,Прохорова Леонид Аскольдовна,407027117316682861
2998,181142.27 RUB,2025-03-04 15:19:43,Ирак,Ефремов Татьяна Гавриилович,407027382855792179
2999,87196.54 RUB,2025-04-29 21:18:40,Дания,Гуляева Федот Виленович,407020848495211917
3000,158368.55 RUB,2024-08-25 18:25:57,Франция,Савельева Остромир Ермолаевич,407022851704819711
3001,246006.35 RUB,2024-07-15 04:40:13,Дания,Котов Кондрат Ерофеевич,407023795449503350
3002,177851.94 RUB,2025-02-02 01:06:30,Йемен,Петухова Сидор Иларионович,407022152321842466
3003,84228.31 RUB,2025-02-19 08:19:44,Руанда,Воробьева Модест Викторовна,407023234711946109
3004,15941.46 RUB,2024-11-24 23:47:48,Мальта,Кононова Давыд Денисович,407029896933648536
3005,164135.67 RUB,2024-07-16 07:33:05,Испания,Гуляева Федот Виленович,407020848495211917
3006,133930.56 RUB,2025-02-20 17:52:32,Куба,Суворова Антип Венедиктович,407027258610623307
3007,213829.36 RUB,2024-06-06 10:19:30,Киргизия,Тарасов Станимир Антонович,407024070881143104
3008,188879.11 RUB,2025-03-28 16:13:03,Беларусь,Молчанова Орест Афанасьевич,407027011438863131
3009,263822.59 RUB,2025-03-27 21:36:28,Гаити,Бурова Андрон Филимонович,407029159343950331
3010,65545.74 RUB,2024-09-13 01:43:31,Алжир,Чернова Тамара Робертовна,407022491000847007
3011,283242.44 RUB,2024-11-28 16:46:35,Армения,Князева Иосиф Альбертовна,407029955085444245
3012,58435.41 RUB,2024-11-01 18:23:26,Руанда,Яковлев Панфил Тимофеевна,407023253184640696
3013,263584.1 RUB,2024-12-11 17:55:17,Германия,Хохлова Евфросиния Егорович,407022921912713131
3014,262808.82 RUB,2024-12-01 16:55:42,Албания,Ефремов Авксентий Ефстафьевич,407020969495136460
3015,269484.5 RUB,2025-01-18 08:42:36,Перу,Громова Порфирий Матвеевна,407028855134468059
3016,284397.45 RUB,2024-12-21 01:09:26,ОАЭ,Яковлева Евфросиния Аверьянович,407022165925789005
3017,110841.66 RUB,2025-04-13 01:16:33,Румыния,Савельева Остромир Ермолаевич,407022851704819711
3018,267554.62 RUB,2024-10-15 20:05:30,Буркина-Фасо,Лыткин Елисей Александровна,407029663363923667
3019,261617.45 RUB,2025-04-24 02:26:52,Бельгия,Морозов Дмитрий Иосифович,407020131473225662
3020,174895.32 RUB,2025-05-31 23:56:26,Замбия,Чернова Тамара Робертовна,407022491000847007
3021,170581.41 RUB,2024-11-28 16:22:50,Ботсвана,Пономарев Алевтина Тарасович,407027876927717238
3022,138305.94 RUB,2024-10-02 16:41:21,Гамбия,Яковлев Панфил Тимофеевна,407023253184640696
3023,3644.07 RUB,2025-05-06 12:37:58,Нигерия,Лихачева Адриан Евгеньевна,407023221026097082
3024,115411.99 RUB,2024-12-13 04:36:54,Маврикий,Красильникова Афиноген Алексеевич,407022004262198905
3025,3662.05 RUB,2024-12-31 13:36:55,Гамбия,Дьячкова Тимофей Тарасовна,407029658795477744
3026,129374.69 RUB,2025-06-01 16:40:42,Монголия,Савина Флорентин Адрианович,407023424408906955
3027,161598.15 RUB,2024-09-13 01:51:00,Норвегия,Рогова Феофан Фролович,407021538735222408
3028,141902.32 RUB,2024-08-18 15:02:01,Оман,Никитин Остап Эдуардовна,407025210832475327
3029,88678.86 RUB,2024-10-12 01:06:28,Эстония,Рогова Феофан Фролович,407021538735222408
3030,101764.01 RUB,2025-03-21 04:45:19,Финляндия,Данилов Харитон Анисимович,407021911450758375
3031,227677.03 RUB,2025-04-12 11:55:38,Ливан,Кононов Мечислав Тарасовна,407020933108062598
3032,286775.81 RUB,2024-09-22 08:38:17,Бангладеш,Яковлева Евфросиния Аверьянович,407022165925789005
3033,142107.12 RUB,2025-05-18 16:39:30,Джибути,Савельева Остромир Ермолаевич,407022851704819711
3034,232339.26 RUB,2024-09-07 06:13:58,Румыния,Кононов Гордей Еремеевич,407029454576526663
3035,145681.91 RUB,2024-09-01 09:44:16,Исландия,Сергеев Эрнест Константиновна,407020925983196428
3036,298203.06 RUB,2025-02-03 14:47:29,Гватемала,Кононова Давыд Денисович,407029896933648536
3037,179868.84 RUB,2025-02-15 11:43:12,Кения,Калашникова Лаврентий Фокич,407029022446497446
3038,90679.29 RUB,2025-05-08 05:34:53,Армения,Журавлев Таисия Анатольевна,407027032200835920
3039,186211.85 RUB,2025-05-20 05:08:41,Ирландия,Яковлева Евфросиния Аверьянович,407022165925789005
3040,269242.53 RUB,2025-01-13 04:36:13,Беларусь,Савельева Остромир Ермолаевич,407022851704819711
3041,24502.57 RUB,2025-04-19 22:13:24,Боливия,Яковлева Евфросиния Аверьянович,407022165925789005
3042,9440.8 RUB,2024-08-30 23:25:17,Чад,Хохлова Евфросиния Егорович,407022921912713131
3043,168817.95 RUB,2024-10-05 09:36:06,Дания,Гущина Акулина Федосьевич,407021866717368457
3044,8480.85 RUB,2024-10-01 05:27:45,Вьетнам,Щербаков Бажен Федоровна,407027071950740306
3045,245924.82 RUB,2025-05-29 17:29:40,Мьянма,Прохорова Леонид Аскольдовна,407027117316682861
3046,54536.17 RUB,2024-11-01 14:57:28,Аргентина,Фролов Андрон Ярославович,407024762708899642
3047,66797.47 RUB,2024-08-30 09:42:29,Сингапур,Петухова Сидор Иларионович,407022152321842466
3048,171988.69 RUB,2025-01-13 17:33:41,Австрия,Князева Иосиф Альбертовна,407029955085444245
3049,99846.59 RUB,2025-03-16 00:32:32,Никарагуа,Попов Глеб Валентиновна,407023333752568116
3050,155195.63 RUB,2024-07-30 12:15:51,Буркина-Фасо,Лебедева Никифор Феликсовна,407028968930657910
3051,159459.44 RUB,2025-05-30 11:39:21,Бенин,Ефремов Татьяна Гавриилович,407027382855792179
3052,167569.47 RUB,2025-02-21 18:49:51,Марокко,Лаврентьева Митофан Владимировна,407021197300443094
3053,254332.99 RUB,2024-08-25 15:43:21,Лаос,Тарасова Ярополк Робертовна,407020768179032620
3054,231840.11 RUB,2024-08-21 09:50:18,Франция,Копылова Антонина Анисимович,407025521633128502
3055,56821.56 RUB,2025-03-03 08:38:28,Кения,Ефимова Фаина Яковлевич,407029541745721663
3056,116886.79 RUB,2024-06-05 19:20:09,Чили,Никитин Остап Эдуардовна,407025210832475327
3057,68690.93 RUB,2025-05-27 23:21:50,Ангола,Дьячкова Тимофей Тарасовна,407029658795477744
3058,223083.66 RUB,2025-02-17 21:31:38,Индонезия,Субботин Лидия Федоровна,407020761873820098
3059,42657.96 RUB,2024-10-30 01:23:31,Кения,Дьячкова Тимофей Тарасовна,407029658795477744
3060,140185.75 RUB,2025-05-22 18:46:18,Сингапур,Ефремов Татьяна Гавриилович,407027382855792179
3061,30811.96 RUB,2024-08-15 01:02:49,Киргизия,Ефремов Авксентий Ефстафьевич,407020969495136460
3062,242898.05 RUB,2024-08-10 03:31:49,Нидерланды,Фролова Фома Феодосьевич,407025839175829766
3063,38289.1 RUB,2024-08-18 17:17:50,Сенегал,Гордеев Парамон Николаевна,407027899171223437
3064,292048.53 RUB,2024-08-08 20:20:20,Чехия,Суворова Антип Венедиктович,407027258610623307
3065,74153.18 RUB,2024-12-02 20:34:27,Танзания,Терентьева Эмилия Олеговна,407023642338578419
3066,171835.8 RUB,2024-11-09 19:30:31,Таиланд,Федотов Автоном Борисович,407023319234962651
3067,266164.22 RUB,2024-12-11 09:15:04,Монако,Журавлева Бажен Тимуровна,407021312206113808
3068,239980.98 RUB,2024-07-14 16:33:39,Филиппины,Князев Никодим Ниловна,407022241940342207
3069,42272.82 RUB,2025-05-20 00:21:03,Лаос,Сергеев Эрнест Константиновна,407020925983196428
3070,5700.92 RUB,2024-09-04 06:52:30,Хорватия,Фролов Андрон Ярославович,407024762708899642
3071,244396.94 RUB,2025-04-14 01:25:04,Азербайджан,Ефимова Фаина Яковлевич,407029541745721663
3072,121633.95 RUB,2024-09-24 17:52:35,Гвинея,Устинов Анастасия Львовна,407020067821431385
3073,237364.51 RUB,2024-07-19 15:30:29,Лаос,Калашникова Лаврентий Фокич,407029022446497446
3074,104095.95 RUB,2024-10-25 22:07:49,Австралия,Ефремов Татьяна Гавриилович,407027382855792179
3075,121464.94 RUB,2025-05-06 00:00:08,Испания,Воронцов Александра Марсович,407024975051720717
3076,214274.58 RUB,2025-01-07 18:40:37,Молдова,Наумова Мариан Рубеновна,407027067985643745
3077,36093.94 RUB,2024-09-15 10:43:17,Буркина-Фасо,Копылова Зосима Ефимович,407028622344292159
3078,283789.8 RUB,2025-02-01 15:40:56,Гватемала,Гуляева Федот Виленович,407020848495211917
3079,291083.17 RUB,2024-11-28 21:36:57,Италия,Фролова Фома Феодосьевич,407025839175829766
3080,226722.03 RUB,2025-01-19 21:45:53,Польша,Чернова Тамара Робертовна,407022491000847007
3081,218682.05 RUB,2024-09-03 22:53:09,Куба,Фролова Фома Феодосьевич,407025839175829766
3082,99804.69 RUB,2025-05-27 16:07:11,Маврикий,Никитин Остап Эдуардовна,407025210832475327
3083,126190.19 RUB,2024-11-04 14:11:48,Никарагуа,Копылова Зосима Ефимович,407028622344292159
3084,221519.45 RUB,2025-04-13 21:37:46,Египет,Мельникова Иларион Владленович,407023390744506589
3085,101508.06 RUB,2025-04-30 23:32:14,Нигерия,Гришин Куприян Трофимович,407020929029803383
3086,214486.74 RUB,2024-09-25 21:04:52,Таджикистан,Морозов Дмитрий Иосифович,407020131473225662
3087,93208.15 RUB,2024-12-07 17:37:12,Таджикистан,Филиппов Антонина Анатольевна,407022163828264858
3088,41396.53 RUB,2025-05-21 15:53:58,Колумбия,Галкина Савва Ануфриевич,407026082438768926
3089,80427.53 RUB,2025-01-27 09:31:56,Афганистан,Тарасова Ярополк Робертовна,407020768179032620
3090,257061.48 RUB,2025-02-14 04:57:37,Казахстан,Никитин Остап Эдуардовна,407025210832475327
3091,52672.02 RUB,2025-05-23 01:02:01,Джибути,Терентьева Эмилия Олеговна,407023642338578419
3092,203898.99 RUB,2024-08-07 03:27:25,Греция,Турова Вадим Данилович,407022490565821805
3093,101066.5 RUB,2024-06-03 07:35:50,Ботсвана,Гришин Куприян Трофимович,407020929029803383
